Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
TCGA-A2-A1G6-01A,0.0441027372420601,0,0.0704970608194714,0.186308941823761,0,0.184578637229352,0,0.0394489682237596,0.0388275417491477,0.0378145948944874,0,0.0278706960183425,0.0133073890486999,0.0435970625845728,0.0271179556838696,0.272538467640018,0.117848174228624,0.0170937778795442,0.161865695300473,0.0103383104834829,0,0.0121919033883075,0,0.588480620495516,0.831117721484107,1.30534791423797
TCGA-A2-A3XS-01A,0.115558260752066,0,0,0.137357218965204,0,0.190408888335698,0,0.0724058792835846,0.114890548350597,0,0,0.0581071698193937,0.0150556914363015,0.113443526299503,0.130774028313771,0.156111538710948,0.00931341400566973,0.00230166206742462,0.0715143955031292,0,0,0.00754092251974661,0,0.691092280081379,0.762830117089501,1.19478314436304
TCGA-A2-A3XT-01A,0.0138181971112639,0,0.016927105793985,0.0985507445225201,0,0.220059353728539,0.0377954850716608,0.05493046684865,0.0673975969976015,0.0211170762850271,0.0303981595353983,0,0,0.963480650679638,0.22641899190361,0.185468695828598,0.0634470603174465,0,0.048851200214297,0,0.00118762014882609,0,0,0.633875765692079,0.773950986660768,2.04984840498706
TCGA-A2-A3XU-01A,0.0184165097105723,0,0.0804763302559035,0.0352204853563554,0,0.0305607525321449,0,0.0615118901339795,0.0221369501251911,0.00358262580000005,0,0.00993677731924183,0.00498902206765416,0.123754595753853,0.0313502906342217,0.109383513862709,0.0163708565463319,0.00138932916793675,0.00387192029929519,0.0153464528647863,0.00600132056982351,0,0,0.417884415617113,0.907999671855178,0.574299623
TCGA-A2-A3XX-01A,0.107654268922598,0,0.122957662369686,0.0976664537531954,0,0.0454549851606826,0.0133120670277141,0.0872605963911865,0.0664783650852153,0,0.0132735755854171,0.00841427916819465,0,0.35854866118937,0.118451631225597,0.147300774301631,0,0,0.0561182302833183,0,0,0,0,0.653878181044924,0.783348794697415,1.2428915504638
TCGA-A2-A3XY-01A,0.0830108743795593,0,0.0546155792700172,0.0647745654043066,0,0.33242423458419,0.0241201925044732,0.165775363995831,0.115658202664436,0,0.0729584896814846,0,0.00837286448784184,0.428612902449004,0.301232462387993,0.203971790438576,0.0338910981896185,0,0.090343384199794,0,0,0.00948979947703909,0,0.796191512069528,0.687923350474106,1.98925180411417
TCGA-A7-A0CE-01A,0.0449539950668692,0,0.0334458718480686,0.0514230303501043,0,0.148701434727259,0.0397057542536095,0.0416773572805123,0.028443783147594,0,0.0362918349699164,0.000611536155990407,0.00396960160954181,0.233613387841492,0.105179108773337,0.119454573511459,0,0.0424197036892094,0.0546394306858143,0,0,0.00427842444408303,0,0.543074458257399,0.843835106028244,0.98880882835486
TCGA-A7-A0DA-01A,0.0463154885318063,0,0.00834968090840365,0.0573034714400358,0,0.0852642963738974,0.00973896403284631,0.0435036966432696,0.0464044064521991,0,0,0.00328537756816832,0,0.342032062318254,0.0750594110128222,0.164194911463253,0,0.00311289466676166,0.00183128257579744,0.0194298726273445,0,0.00288838879151841,0,0.676372989419531,0.748231334580453,0.908714205406377
TCGA-A7-A26F-01A,0.0258529386175135,0,0.032268148086265,0.0157229576112389,0,0.19242194164816,0.0278634259701392,0,0,0,0.0309287238017395,0,0.0168518924118461,0.117278408944028,0.072135158205904,0.0859761904693554,0.00337404324462166,0.0301749260093914,0.0282518942146704,0,0.01361832589882,0.0187352163648307,0,0.707186231157193,0.758748196006173,0.711454191498523
TCGA-A7-A26G-01A,0.0723919659070697,0,0.0540996821887055,0.0512845988295549,0,0.363476146311363,0.0519278149587016,0.0864767371756555,0,0.00168192043325001,0.0484829646479384,0,0.0066856361848906,0.152578534968437,0.201944222550164,0.176594365587445,0.060295057648467,0,0.109196312959843,0,0,0.00954017587559365,0,0.749955497442241,0.734557588642828,1.44665613622708
